date,Voltage,ChargeCapacity
6/23/2018 0:49,3.873688698,1.052390933
6/23/2018 0:51,3.878029823,1.052390933
6/23/2018 0:53,4.200091362,0.011557302
6/23/2018 0:55,4.323357582,0.119969301
6/23/2018 0:57,4.362844467,0.228632778
6/23/2018 0:59,4.400039673,0.336242229
6/23/2018 1:01,4.399993896,0.429043025
6/23/2018 1:03,4.400024414,0.505830288
6/23/2018 1:05,4.399971962,0.571045399
6/23/2018 1:07,4.40004921,0.627893329
6/23/2018 1:09,4.400035858,0.678488195
6/23/2018 1:11,4.400012016,0.72426796
6/23/2018 1:13,4.39997673,0.766160846
6/23/2018 1:15,4.400001526,0.80468297
6/23/2018 1:17,4.40000248,0.840294838
6/23/2018 1:19,4.399977684,0.873414755
6/23/2018 1:21,4.400007248,0.904355168
6/23/2018 1:23,4.400009155,0.933339
6/23/2018 1:25,4.400022507,0.960596442
6/23/2018 1:27,4.399985313,0.986393988
6/23/2018 1:29,4.399957657,1.010863304
6/23/2018 1:31,4.399989128,1.034054637
6/23/2018 1:33,4.400006294,1.048719883
6/23/2018 1:35,4.268937111,1.048722386
6/23/2018 1:37,4.25609684,1.048722386
6/23/2018 1:39,4.252776146,1.048722386
6/23/2018 1:41,3.328176498,1.048722386
6/23/2018 1:43,3.254874229,1.048722386
6/23/2018 1:45,3.171032906,1.048722386
6/23/2018 1:47,3.08604908,1.048722386
6/23/2018 1:49,2.999992371,1.048722386
6/23/2018 1:51,3.85402298,1.048722386
6/23/2018 1:53,3.873291969,1.048722386
6/23/2018 1:55,3.877605438,1.048722386
6/23/2018 1:57,4.200040817,0.011894591
6/23/2018 1:59,4.322072029,0.120313764
6/23/2018 2:01,4.361365318,0.228976458
6/23/2018 2:03,4.400022507,0.336792409
6/23/2018 2:05,4.400017738,0.430176735
6/23/2018 2:07,4.400000572,0.507447541
6/23/2018 2:09,4.400022507,0.572741926
6/23/2018 2:11,4.400028229,0.629542351
6/23/2018 2:13,4.400053024,0.680042982
6/23/2018 2:15,4.39999485,0.725700855
6/23/2018 2:17,4.400020599,0.767418623
6/23/2018 2:19,4.399991989,0.805930793
6/23/2018 2:21,4.399972916,0.841662705
6/23/2018 2:23,4.399938583,0.87492007
6/23/2018 2:25,4.399996758,0.905997872
6/23/2018 2:27,4.400020599,0.935170054
6/23/2018 2:29,4.39999485,0.962679923
6/23/2018 2:31,4.400007248,0.98860687
6/23/2018 2:33,4.39999485,1.013080835
6/23/2018 2:35,4.400019646,1.036257982
6/23/2018 2:37,4.399988174,1.05166626
6/23/2018 2:39,4.26943779,1.051668763
6/23/2018 2:41,4.256575584,1.051668763
6/23/2018 2:43,4.25327301,1.051668763
6/23/2018 2:45,3.329465866,1.051668763
6/23/2018 2:47,3.254403114,1.051668763
6/23/2018 2:49,3.170333862,1.051668763
6/23/2018 2:51,3.086065292,1.051668763
6/23/2018 2:53,2.999986649,1.051668763
6/23/2018 2:55,3.853147507,1.051668763
6/23/2018 2:57,3.872471809,1.051668763
6/23/2018 2:59,3.87686348,1.051668763
6/23/2018 3:01,4.200091362,0.012522371
6/23/2018 3:03,4.32123661,0.120946258
6/23/2018 3:05,4.360321999,0.2296056
6/23/2018 3:07,4.400075912,0.337476909
6/23/2018 3:09,4.400048256,0.431083709
6/23/2018 3:11,4.399983406,0.508493662
6/23/2018 3:13,4.40003109,0.573841929
6/23/2018 3:15,4.399981499,0.630497217
6/23/2018 3:17,4.400001526,0.680863261
6/23/2018 3:19,4.400063515,0.726412356
6/23/2018 3:21,4.399971962,0.768137276
6/23/2018 3:23,4.400042534,0.8066625
6/23/2018 3:25,4.399991035,0.842429221
6/23/2018 3:27,4.400066376,0.875677288
6/23/2018 3:29,4.399997711,0.906700253
6/23/2018 3:31,4.400009155,0.935754597
6/23/2018 3:33,4.39999485,0.963071346
6/23/2018 3:35,4.39998436,0.988802195
6/23/2018 3:37,4.400067329,1.013098121
6/23/2018 3:39,4.399958611,1.036070585
6/23/2018 3:41,4.399965286,1.048233747
6/23/2018 3:43,4.267326355,1.048235297
6/23/2018 3:45,4.254201889,1.048235297
6/23/2018 3:47,4.250862122,1.048235297
6/23/2018 3:49,3.325033188,1.048235297
6/23/2018 3:51,3.251226425,1.048235297
6/23/2018 3:53,3.167050362,1.048235297
6/23/2018 3:55,3.082414627,1.048235297
6/23/2018 3:57,2.999999046,1.048235297
6/23/2018 3:59,3.853060722,1.048235297
6/23/2018 4:01,3.872303963,1.048235297
